5 6 8.5 0.345856 0.108695 0.065663 0.065663 
6 7 8.5 0.345856 0.108695 0.065663 0.065663 
7 10 8.5 0.345856 0.108695 0.065663 0.065663 
10 15 12.5 0.448007 0.074473 0.076989 0.076989
15 20 17.5 0.440209 0.0750719 0.073974 0.073974
20 30 25 0.615181 0.091924 0.101409 0.101409
30 50 40 0.348656 0.112015 0.057095 0.057095
