4 5 4.5 0.386557 0.0258202 0.0660977 0.0660977
5 6 5.5 0.282047 0.0221066 0.0476514 0.0476514
6 8 7 0.318809 0.0199237 0.0536367 0.0536367
8 10 9 0.257648 0.0146876 0.0428774 0.0428774
10 12.5 11.25 0.306907 0.0187519 0.0511049 0.0511049
