3.57   0.75  0.7389477  0.7389477  0.2613933   0.0634266
5      0.5   0.6345531  0.6345531  0.1109919   0.04242643
6      0.5   0.5167278  0.5477278  0.05985485  0.0343517
7      0.5   0.5205617  0.5105617  0.05704963  0.01781202
8      0.5   0.4780894  0.4780894  0.03986511  0.01397327
9      0.5   0.4616475  0.4616475  0.03372379  0.01285977
10.25  0.75  0.4371907  0.4371907  0.02713588  0.0107817
12     1     0.4263492  0.4263492  0.02404351  0.01086009
14     1     0.4585017  0.4245017  0.02512273  0.01418445
16.25  1.25  0.4234693  0.4234693  0.02306843  0.01554696
18.75  1.25  0.4502758  0.4302758  0.02731351  0.02139503
22.5   2.5   0.4407601  0.4407601  0.02398772  0.02221882
27.5   2.5   0.4666347  0.4666347  0.02865439  0.03530909
32.5   2.5   0.6018213  0.4698213  0.05034567  0.06675377
42.5   7.5   0.473903   0.473903   0.04050557  0.06164125
