2 4       0.1653 0.0077 0.0200 0.0150
4 6       0.1313 0.0062 0.0200 0.0150
6 8       0.1104 0.0082 0.0200 0.0150
8 12      0.0845 0.0105 0.0100 0.0150
12 16     0.0704 0.0174 0.0100 0.0150
