22.8	-1.85E-02	
22.9	-1.84E-02	
23	    -1.82E-02	
23.1	-1.80E-02	
23.2	-1.78E-02	
23.3	-1.76E-02	
23.4	-1.74E-02	
23.5	-1.73E-02	
23.6	-1.71E-02	
23.7	-1.69E-02	
23.8	-1.67E-02	
23.9	-1.65E-02	
24	    -1.62E-02	
24.1	-1.60E-02	
24.2	-1.58E-02	
24.3	-1.56E-02	
24.4	-1.54E-02	
24.5	-1.52E-02	
24.6	-1.50E-02	
24.7	-1.48E-02	
24.8	-1.45E-02	
24.9	-1.43E-02	
25	    -0.014116	
